Sustancia,Listado individual,N.o CAS
Arilaminas,4-Aminobiphenyl,92-67-1
,Benzidine,92-87-5
,4-Chloro-o-toluidine,95-69-2
,2-Naphthylamine,91-59-8
,o-Aminoazotoluene,97-56-3
,2-Amino-4-nitrotoluene,99-55-8
,4-Chloroaniline,106-47-8
,"2,4-Diaminoanisole",615-05-4
,"4,4’-Diaminodiphenylmethane",101-77-9
,"3,3’-Dichlorobenzidine",91-94-1
,"3,3’-Dimetoxybenzidine",119-90-4
,"3,3’-Dimethylbenzidine",119-93-7
,"3,3’-Dimethyl-4,4’-diaminodiphenilmethane",838-88-0
,p-Cresidine,120-71-8
,"4,4’-Methylen-bis-(2-chloroaniline)",101-14-4
,"4,4’-Oxydianiline",101-80-4
,"4,4’-Thiodianiline",139-65-1
,o-Toluidine,95-53-4
,"2,4-Toluilendiamine",95-80-7
